Experiment,Location,Community,Kingdom,Common name,S,RYT,MRY,ECS, TO,CV_K,RSE,alpha_ij,a_ij,alpha_ji,a_ji,a_mean,sd_a
Experiment,Buenos Aires,Plants,Plantae,Plants,2,0.82,0.41,0.82,0.84,0.04,0.49,1.17,1.25,3.27,3.08,2.16,1.3
Experiment,Buenos Aires,Plants,Plantae,Plants,2,0.89,0.44,0.45,0.63,0.54,0.52,2.56,1.14,0.93,2.08,1.61,0.67
Experiment,Buenos Aires,Plants,Plantae,Plants,2,1.07,0.53,1.04,1.07,0.05,0.98,0.91,0.85,0.83,0.89,0.87,0.03
Experiment,Buenos Aires,Plants,Plantae,Plants,2,1.09,0.55,0.92,1.02,0.16,0.73,0.47,0.58,1.11,0.89,0.74,0.22
Experiment,Buenos Aires,Plants,Plantae,Plants,2,1.01,0.51,0.87,1.19,0.51,0.83,0.46,0.98,2.02,0.95,0.96,0.02
Experiment,Buenos Aires,Plants,Plantae,Plants,2,1.06,0.53,1.02,1.07,0.08,0.99,0.96,0.86,0.8,0.89,0.88,0.02
Experiment,Buenos Aires,Plants,Plantae,Plants,2,0.86,0.43,0.76,0.87,0.2,1,0.97,1.3,1.8,1.35,1.33,0.03
Experiment,Buenos Aires,Plants,Plantae,Plants,2,0.8,0.4,0.71,0.99,0.56,0.71,0.57,1.31,5.28,2.3,1.81,0.7
Experiment,Buenos Aires,Plants,Plantae,Plants,2,1.06,0.53,1.03,1.05,0.03,0.87,0.96,0.92,0.78,0.81,0.87,0.08
Experiment,Buenos Aires,Plants,Plantae,Plants,2,0.88,0.44,0.82,1.03,0.37,0.64,0.68,1.17,3.19,1.86,1.51,0.49
Experiment,Buenos Aires,Plants,Plantae,Plants,2,0.82,0.41,0.7,0.81,0.23,1,1.99,1.43,1.06,1.47,1.45,0.03
Experiment,Buenos Aires,Plants,Plantae,Plants,2,0.99,0.49,0.89,1.25,0.58,0.68,2.52,1.06,0.42,1.01,1.03,0.03
Experiment,New Zeland,Plants,Plantae,Plants,2,1.02,0.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Experiment,New Zeland,Plants,Plantae,Plants,2,1.08,0.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Experiment,New Zeland,Plants,Plantae,Plants,2,1.21,0.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Experiment,New Zeland,Plants,Plantae,Plants,2,1.12,0.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Experiment,New Zeland,Plants,Plantae,Plants,2,1.1,0.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Experiment,New Zeland,Plants,Plantae,Plants,2,1.09,0.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
