ord1,ord2,ord3,con,cor,ord1_strength,indirect,case,ND_slope,ND_intercept,ND_var_slope,ND_var_intercept,FD_slope,FD_intercept,FD_var_slope,FD_var_intercept,a_slope,a_intercept,n_com_2,n_com_3,n_com_4,n_com_5,n_com_6
"neg, ","neg, ","abs, ","m, ","pos, ","weak, ","abs, ","neg, neg, abs, pos, m, weak, abs, ",-0.00889363704598468,1.1321021605247108,-0.027321193879924266,0.19734149889482389,-1.09684373494753,2.320603100368356,0.10022548718277764,0.11706646280799421,-0.0023309338179105248,0.10492765115025539,100.0,95.0,95.0,76.0,21.0
"neg, ","neg, ","abs, ","m, ","pos, ","weak, ","pre, ","neg, neg, abs, pos, m, weak, pre, ",-0.00684354388725149,1.1276580604961546,-0.0274083147557209,0.19821317773790964,-2.022322379579074,4.477156250440528,0.47601242386647713,-0.8537700569933351,-0.0022398978794059845,0.10471516331305206,100.0,95.0,94.0,73.0,17.0
"neg, ","neg, ","pre, ","h, ","neg, ","strong, ","abs, ","neg, neg, pre, neg, h, strong, abs, ",0.0016538428830777082,1.244847881777374,-0.030820908276544424,0.31302856215790215,-1.0326476847084405,1.6195725359935405,0.3300254470361411,0.07128527691492526,-0.0016340776109319216,0.2625424912424524,99.0,95.0,82.0,53.0,33.0
"neg, ","neg, ","pre, ","h, ","neg, ","strong, ","pre, ","neg, neg, pre, neg, h, strong, pre, ",0.021099957948901606,1.1937867029881595,-0.025935477092940553,0.3130539669390175,-1.223904734254441,1.9713185950204903,0.517840332399952,-0.2709253018326727,-0.001989214360032202,0.2646255344388564,99.0,95.0,76.0,54.0,29.0
"neg, ","neg, ","pre, ","h, ","neg, ","weak, ","abs, ","neg, neg, pre, neg, h, weak, abs, ",-0.00010316500307243302,1.0916192037392987,-0.013344340119409971,0.1323794774869903,-0.9633925998090366,0.7285260939801765,0.41611171053356416,-0.053096712526713,-0.0010942998373323321,0.10099097027692429,99.0,99.0,96.0,91.0,90.0
"neg, ","neg, ","pre, ","h, ","neg, ","weak, ","pre, ","neg, neg, pre, neg, h, weak, pre, ",0.0030699123872325713,1.0833017320175875,-0.01077928663806107,0.1243028496415734,-1.0946818766237312,0.8717116307483175,0.4324889823823032,-0.011124150671710131,-0.0007155156975321553,0.10013674426976797,99.0,98.0,95.0,83.0,79.0
"neg, ","neg, ","pre, ","l, ","neg, ","strong, ","abs, ","neg, neg, pre, neg, l, strong, abs, ",-0.028931829144168385,1.2757864213428263,-0.04323720207301303,0.3486064964971061,-1.2307512779605312,0.9658239382681932,0.44476292124653904,1.215777096795975,-0.019996175269053475,0.26265655899075374,99.0,91.0,83.0,69.0,38.0
"neg, ","neg, ","pre, ","l, ","neg, ","strong, ","pre, ","neg, neg, pre, neg, l, strong, pre, ",-0.024526965933469747,1.2642650518175125,-0.028907926203714785,0.2974280161954236,-1.551579115300498,-1.1307550586821513,1.0012311317645406,-0.21156528434850586,-0.02138344167267069,0.2660099034239384,99.0,90.0,84.0,67.0,29.0
"neg, ","neg, ","pre, ","l, ","neg, ","weak, ","abs, ","neg, neg, pre, neg, l, weak, abs, ",-0.004821044245283267,1.0843073338132772,-0.007733300426288859,0.09125930074804917,-0.5383131410961537,-2.9492463054350258,0.3071970492445952,1.3585433204065482,-0.005678801062826895,0.09089438128550004,100.0,96.0,78.0,81.0,70.0
"neg, ","neg, ","pre, ","l, ","neg, ","weak, ","pre, ","neg, neg, pre, neg, l, weak, pre, ",-0.0031533557313308926,1.079601837799116,-0.00602004220014436,0.08838575354628105,-0.9144719992476291,-2.066841542351142,0.5565694000473446,0.718459058379199,-0.005376407636113344,0.09009870339421888,100.0,97.0,76.0,84.0,68.0
"neg, ","neg, ","pre, ","m, ","neg, ","strong, ","abs, ","neg, neg, pre, neg, m, strong, abs, ",-0.021665957397841912,1.2844875086703536,-0.03852740026915389,0.34639769483670557,-1.2544897014058707,2.0235556134270354,0.2747943575276068,1.1106451688522296,-0.011213871140646798,0.2589833461660056,99.0,93.0,83.0,54.0,38.0
"neg, ","neg, ","pre, ","m, ","neg, ","strong, ","pre, ","neg, neg, pre, neg, m, strong, pre, ",-0.012982405004475362,1.2613829432596468,-0.024152255417904757,0.3045408314658385,-1.777602373419733,3.2479492928421694,0.5838638779553624,0.3428496016347382,-0.010977963311474567,0.2582065175867098,99.0,95.0,79.0,48.0,36.0
"neg, ","neg, ","pre, ","m, ","neg, ","weak, ","abs, ","neg, neg, pre, neg, m, weak, abs, ",-0.0023577157512131254,1.083997426469738,-0.007449999997626123,0.09345142055293887,-2.7944848949064034,6.398641931134025,-0.0787936044661219,3.132571880106295,-0.002249392005511573,0.08687435716372895,100.0,94.0,89.0,87.0,88.0
"neg, ","neg, ","pre, ","m, ","neg, ","weak, ","pre, ","neg, neg, pre, neg, m, weak, pre, ",0.0006842039626309723,1.075925976187092,-0.005459512477465323,0.0876960753913362,-1.7104721843969721,3.1064630558701043,0.3058455625221166,2.1192912353986317,-0.0020860249268411044,0.0863733018283296,100.0,94.0,88.0,82.0,77.0
"neg, ","neg, ","pre, ","h, ","nul, ","strong, ","abs, ","neg, neg, pre, nul, h, strong, abs, ",-0.040212310727501754,1.3508019524247794,,,-1.4883958624722566,2.5277255766647926,,,-0.003636845584616872,0.32809438600026486,99.0,87.0,35.0,4.0,0.0
"neg, ","neg, ","pre, ","h, ","nul, ","strong, ","pre, ","neg, neg, pre, nul, h, strong, pre, ",-0.0570977145520435,1.3846468559583551,,,-6.229644442229363,12.908256416937851,,,-0.0036677168868047886,0.3267541868158624,99.0,80.0,22.0,2.0,0.0
"neg, ","neg, ","pre, ","h, ","nul, ","weak, ","abs, ","neg, neg, pre, nul, h, weak, abs, ",-0.004279007801256904,1.110575813082948,-0.011250627562333549,0.10801557252223057,-1.2894352806041427,2.230890860906558,0.6255313992835044,-0.37736228506287706,-0.00025193415656890757,0.11641921505573262,98.0,98.0,87.0,81.0,17.0
"neg, ","neg, ","pre, ","h, ","nul, ","weak, ","pre, ","neg, neg, pre, nul, h, weak, pre, ",-0.006168932096101983,1.115974616723394,-0.011105926969467174,0.10765241600911751,-2.981345300869551,6.177809442742288,2.323612648771613,-4.888469093470777,-0.0005001802446111342,0.11719042073694874,98.0,97.0,74.0,43.0,9.0
